victim,mix,attackers,baseline_cycles_med,bg_cycles_med,slowdown_med,baseline_cycles_avg,bg_cycles_avg,slowdown_avg
complex_updates,MTH_CACHE3,"MTH_CACHE MTH_CACHE MTH_CACHE",3635.50,5178.00,1.424,4193.20,6581.40,1.570
complex_updates,PR_CACHE3,"PR_CACHE PR_CACHE PR_CACHE",3635.50,12302.50,3.384,4193.20,13552.50,3.232
complex_updates,ALL_CACHE,"CACHE MTH_CACHE PR_CACHE",3635.50,3614.50,0.994,4193.20,4329.10,1.032
complex_updates,ALL_BUS,"BUS MTH_BUS PR_MEMBUS",3635.50,3671.00,1.010,4193.20,4687.80,1.118
complex_updates,ALL_MEM,"MEM MTH_MEM PR_ROWBUF",3635.50,3589.00,0.987,4193.20,4402.30,1.050
complex_updates,ALL_PTR,"POINTER MTH_POINTER PR_POINTER",3635.50,5328.00,1.466,4193.20,5778.00,1.378
complex_updates,ALL_PIPE,"PIPELINE MTH_PIPELINE MTH_PIPELINE",3635.50,3680.00,1.012,4193.20,4271.90,1.019
complex_updates,TLB_TRIPLE,"PR_TLB PR_TLB PR_TLB",3635.50,6643.00,1.827,4193.20,8749.50,2.087
complex_updates,MIX_CACHEBUS,"PR_CACHE MTH_BUS PR_MEMBUS",3635.50,4395.50,1.209,4193.20,6040.00,1.440
complex_updates,MIX_TLBMEM,"PR_TLB MTH_MEM PR_ROWBUF",3635.50,3602.00,0.991,4193.20,4214.40,1.005
complex_updates,MIX_KERNEL,"PR_NET PR_FILESYS PR_SPAWN",3635.50,3545.00,0.975,4193.20,4258.30,1.016
complex_updates,MIX_IO,"PR_DISKIO PR_FILESYS MTH_SYSCALLS",3635.50,5581.50,1.535,4193.20,6020.40,1.436
complex_updates,MIX_HARSH,"PR_ROWBUF MTH_BUS PR_MEMBUS",3635.50,3649.50,1.004,4193.20,5418.50,1.292
complex_updates,MIX_BROAD,"PR_CACHE PR_MEMBUS PR_TLB",3635.50,8095.00,2.227,4193.20,8566.00,2.043
cosf,TIM_CACHE3,"CACHE CACHE CACHE",31017.50,31283.00,1.009,32241.50,33734.60,1.046
cosf,MTH_CACHE3,"MTH_CACHE MTH_CACHE MTH_CACHE",31017.50,35288.00,1.138,32241.50,37347.30,1.158
cosf,PR_CACHE3,"PR_CACHE PR_CACHE PR_CACHE",31017.50,52607.00,1.696,32241.50,47936.20,1.487
cosf,ALL_CACHE,"CACHE MTH_CACHE PR_CACHE",31017.50,31179.00,1.005,32241.50,33456.80,1.038
cosf,ALL_BUS,"BUS MTH_BUS PR_MEMBUS",31017.50,31127.00,1.004,32241.50,32822.40,1.018
cosf,ALL_MEM,"MEM MTH_MEM PR_ROWBUF",31017.50,31872.00,1.028,32241.50,39598.20,1.228
cosf,ALL_PTR,"POINTER MTH_POINTER PR_POINTER",31017.50,34771.50,1.121,32241.50,36032.70,1.118
cosf,ALL_PIPE,"PIPELINE MTH_PIPELINE MTH_PIPELINE",31017.50,31118.50,1.003,32241.50,32431.60,1.006
cosf,TLB_TRIPLE,"PR_TLB PR_TLB PR_TLB",31017.50,33198.50,1.070,32241.50,35589.30,1.104
cosf,MIX_CACHEBUS,"PR_CACHE MTH_BUS PR_MEMBUS",31017.50,31095.00,1.002,32241.50,32290.50,1.002
cosf,MIX_TLBMEM,"PR_TLB MTH_MEM PR_ROWBUF",31017.50,31440.00,1.014,32241.50,32866.00,1.019
cosf,MIX_KERNEL,"PR_NET PR_FILESYS PR_SPAWN",31017.50,35349.00,1.140,32241.50,36552.10,1.134
cosf,MIX_IO,"PR_DISKIO PR_FILESYS MTH_SYSCALLS",31017.50,34607.00,1.116,32241.50,36081.80,1.119
cosf,MIX_HARSH,"PR_ROWBUF MTH_BUS PR_MEMBUS",31017.50,31250.00,1.007,32241.50,35636.70,1.105
cosf,MIX_BROAD,"PR_CACHE PR_MEMBUS PR_TLB",31017.50,31388.00,1.012,32241.50,35554.00,1.103
countnegative,TIM_CACHE3,"CACHE CACHE CACHE",34012.00,34901.00,1.026,34834.90,37097.70,1.065
countnegative,MTH_CACHE3,"MTH_CACHE MTH_CACHE MTH_CACHE",34012.00,33902.00,0.997,34834.90,35037.80,1.006
countnegative,PR_CACHE3,"PR_CACHE PR_CACHE PR_CACHE",34012.00,34831.50,1.024,34834.90,40440.30,1.161
countnegative,ALL_CACHE,"CACHE MTH_CACHE PR_CACHE",34012.00,44069.00,1.296,34834.90,41705.50,1.197
countnegative,ALL_BUS,"BUS MTH_BUS PR_MEMBUS",34012.00,33860.00,0.996,34834.90,34728.00,0.997
countnegative,ALL_MEM,"MEM MTH_MEM PR_ROWBUF",34012.00,35265.00,1.037,34834.90,40953.40,1.176
countnegative,ALL_PTR,"POINTER MTH_POINTER PR_POINTER",34012.00,35888.00,1.055,34834.90,36706.40,1.054
countnegative,ALL_PIPE,"PIPELINE MTH_PIPELINE MTH_PIPELINE",34012.00,33973.50,0.999,34834.90,34647.20,0.995
countnegative,TLB_TRIPLE,"PR_TLB PR_TLB PR_TLB",34012.00,34692.50,1.020,34834.90,37061.70,1.064
countnegative,MIX_CACHEBUS,"PR_CACHE MTH_BUS PR_MEMBUS",34012.00,34408.50,1.012,34834.90,35645.40,1.023
countnegative,MIX_TLBMEM,"PR_TLB MTH_MEM PR_ROWBUF",34012.00,37060.00,1.090,34834.90,37534.90,1.078
countnegative,MIX_KERNEL,"PR_NET PR_FILESYS PR_SPAWN",34012.00,33853.50,0.995,34834.90,34790.70,0.999
countnegative,MIX_IO,"PR_DISKIO PR_FILESYS MTH_SYSCALLS",34012.00,34840.00,1.024,34834.90,36035.30,1.034
countnegative,MIX_HARSH,"PR_ROWBUF MTH_BUS PR_MEMBUS",34012.00,34149.00,1.004,34834.90,36026.40,1.034
