sample,checkpoint_ns,predicate_ns,signal_ns,yield_ns,budget_update_ns,total_ns
670,125,375,5250,1625,1500,8875
671,0,375,5500,1750,1625,9250
672,125,375,5375,1625,1500,9000
673,125,375,5375,1750,1625,9250
674,125,375,5375,1625,1500,9000
675,125,375,5250,1625,1500,8875
676,125,375,5250,1625,1500,8875
677,125,375,5250,1625,1500,8875
678,125,375,5375,1750,1500,9125
679,125,375,5375,1750,1500,9125
680,125,375,5375,1625,1500,9000
681,125,500,5250,1625,1500,9000
682,0,375,5500,1750,1500,9125
683,125,375,5375,1625,1500,9000
684,125,375,5375,1625,1500,9000
685,125,375,5250,1625,1500,8875
686,125,375,5375,1625,1500,9000
687,125,375,5500,1750,1625,9375
688,125,375,5375,1750,1500,9125
689,125,375,5250,1625,1500,8875
690,125,500,5375,1750,1500,9250
691,125,375,5375,1625,1500,9000
692,125,375,5375,1625,1500,9000
693,125,375,5250,1625,1500,8875
694,125,375,5500,1625,1500,9125
695,125,375,5250,1625,1500,8875
696,0,375,5375,1625,1500,8875
697,125,375,5375,1625,1625,9125
698,125,375,5500,1625,1500,9125
699,125,375,5250,1625,1500,8875
700,125,500,5375,1750,1500,9250
701,125,500,5250,1750,1500,9125
702,125,375,5250,1750,1500,9000
703,125,375,5375,1750,1500,9125
704,125,500,5375,1625,1500,9125
705,125,375,5250,1625,1500,8875
706,125,375,5375,1750,1625,9250
707,125,375,5250,1750,1625,9125
708,0,375,5375,1625,1500,8875
709,125,375,5375,1625,1500,9000
710,125,375,5375,1750,1625,9250
711,125,375,5375,1750,1500,9125
712,125,375,5375,1750,1500,9125
713,125,375,5375,1625,1500,9000
714,125,375,5375,1625,1500,9000
715,125,375,5250,1750,1500,9000
716,125,500,5375,1750,1500,9250
717,125,375,5375,1750,1625,9250
718,125,375,5250,1750,1625,9125
719,125,375,5375,1625,1500,9000
720,125,375,5375,1750,1500,9125
721,125,375,5375,1625,1500,9000
722,0,375,5500,1625,1625,9125
723,125,375,5500,1750,1500,9250
724,125,500,5375,1750,1500,9250
725,125,375,5250,1625,1500,8875
726,0,375,5500,1625,1500,9000
727,0,375,5375,1750,1500,9000
728,125,500,5375,1625,1500,9125
729,125,375,5375,1625,1500,9000
730,125,375,5375,1625,1500,9000
731,125,375,5375,1625,1500,9000
732,125,375,5375,1750,1625,9250
733,125,500,5250,13500,2000,21375
734,125,500,6125,1875,1625,10250
735,125,375,5500,1625,1500,9125
736,125,375,5375,1625,1500,9000
737,125,500,5375,1750,1625,9375
738,0,375,5375,1750,1625,9125
739,125,375,5375,1625,1625,9125
740,125,375,5375,1750,1500,9125
741,125,375,5375,1625,1500,9000
742,0,375,5250,1750,1625,9000
743,125,375,5375,1750,1500,9125
744,125,375,5250,1625,1500,8875
745,125,375,5250,1625,1500,8875
746,125,375,5375,1625,1500,9000
747,125,375,5375,1750,1500,9125
748,125,375,5375,1750,1625,9250
749,125,375,5500,1750,1500,9250
750,125,375,5375,1625,1625,9125
751,125,375,5250,1625,1500,8875
752,0,375,5500,1750,1625,9250
753,125,375,5375,1750,1500,9125
754,125,500,5250,1625,1625,9125
755,0,375,5250,1625,1500,8750
756,0,375,5250,1625,1500,8750
757,125,375,5375,1625,1500,9000
758,0,375,5375,1625,1500,8875
759,125,375,5250,1750,1500,9000
760,0,375,5375,1625,1500,8875
761,125,375,5375,1750,1500,9125
762,125,375,5250,1625,1500,8875
