victim,mix,attackers,baseline_med,bg_med,slowdown_med,baseline_avg,bg_avg,slowdown_avg
fac,H6_CACHE_PRC_PRT,"CACHE PR_CACHE PR_TLB",737.50,863.50,1.171,1090.50,2343.83,2.149
fac,H5_MEM_PRR_MTHM,"MEM PR_ROWBUF MTH_MEM",737.50,945.50,1.282,1090.50,3517.67,3.226
fac,H10_PRC_PRT_PRROW,"PR_CACHE PR_TLB PR_ROWBUF",737.50,774.50,1.050,1090.50,1380.83,1.266
fac,H7_CACHE_PRC_PRMEMBUS,"CACHE PR_CACHE PR_MEMBUS",737.50,749.50,1.016,1090.50,2847.00,2.611
fac,H13_CACHE_BUS_PRC,"CACHE BUS PR_CACHE",737.50,789.50,1.071,1090.50,1905.75,1.748
fac,H2_CACHE_CACHE_PRC,"CACHE CACHE PR_CACHE",737.50,762.50,1.034,1090.50,1672.58,1.534
fac,H15_PRC_MTHC_MTHM,"PR_CACHE MTH_CACHE MTH_MEM",737.50,831.50,1.127,1090.50,3346.83,3.069
fac,H12_PRC_PRROW_MTHM,"PR_CACHE PR_ROWBUF MTH_MEM",737.50,940.50,1.275,1090.50,3368.42,3.089
fac,H9_PTR_PRPTR_MTHPTR,"POINTER PR_POINTER MTH_POINTER",737.50,1456.50,1.975,1090.50,2215.58,2.032
cosf,H14_CACHE_MEM_PRC,"CACHE MEM PR_CACHE",31004.50,31098.00,1.003,33553.58,34363.92,1.024
cosf,H20_PTR_PRPTR_PRC,"POINTER PR_POINTER PR_CACHE",31004.50,31317.50,1.010,33553.58,35308.67,1.052
cosf,H3_CACHE_PRC_PRC,"CACHE PR_CACHE PR_CACHE",31004.50,31077.00,1.002,33553.58,34114.08,1.017
cosf,H19_MEM_MEM_PRROW,"MEM MEM PR_ROWBUF",31004.50,59480.50,1.918,33553.58,60951.67,1.817
cosf,H1_CACHE_PRC_MTHC,"CACHE PR_CACHE MTH_CACHE",31004.50,31001.00,1.000,33553.58,32342.50,0.964
cosf,H17_PRC_PRC_PRT,"PR_CACHE PR_CACHE PR_TLB",31004.50,38808.00,1.252,33553.58,42319.08,1.261
cosf,H18_PRC_PRC_PRMEMBUS,"PR_CACHE PR_CACHE PR_MEMBUS",31004.50,31112.00,1.003,33553.58,38613.83,1.151
cosf,H16_CACHE_MEM_BUS,"CACHE MEM BUS",31004.50,31899.50,1.029,33553.58,41910.92,1.249
cosf,H8_BUS_PRMEMBUS_PRC,"BUS PR_MEMBUS PR_CACHE",31004.50,31051.50,1.002,33553.58,34322.92,1.023
cosf,H11_PRC_PRT_PRMEMBUS,"PR_CACHE PR_TLB PR_MEMBUS",31004.50,31304.50,1.010,33553.58,35083.58,1.046
cosf,H4_TUNED_KILLER,"CACHE BUS MEM",31004.50,33566.00,1.083,33553.58,57034.33,1.700
cosf,H6_CACHE_PRC_PRT,"CACHE PR_CACHE PR_TLB",31004.50,31686.00,1.022,33553.58,35889.33,1.070
