i,victim,triple,c_obs_med,c_solo,a_real,a_max,violation
306,gsm_dec,h264_dec+pm+matrix1,1835791.5,1831781.5,0.5567,3.9004,False
307,huff_enc,duff+ammunition+cover,522836.5,525918.5,0.0,1.0,False
308,duff,powerwindow+duff+pm,1878.5,2236.5,-10.0845,0.0,False
309,susan,huff_dec+audiobeam+petrinet,30666084.5,30680684.0,-0.0381,1.434,False
310,cover,deg2rad+rijndael_dec+rijndael_dec,3688.0,3751.5,-14.1111,0.0,False
311,minver,ludcmp+ndes+rijndael_enc,1337.0,1348.5,-1.15,0.0,False
312,cosf,gsm_enc+bitonic+jfdctint,14011.0,14047.0,0.0,1.0,False
313,cover,mpeg2+cjpeg_transupp+dijkstra,3832.5,3751.5,18.0,0.0,True
314,sha,cjpeg_transupp+audiobeam+anagram,1462308.0,1468088.5,-1.0546,13.1663,False
315,cjpeg_wrbmp,rijndael_dec+epic+matrix1,72578.0,74932.5,-1.5541,1.2152,False
316,quicksort,sha+lms+duff,2859711.0,2863682.5,-1.1117,21.9323,False
317,h264_dec,bitonic+huff_dec+pm,211201.5,226028.5,0.0,1.0,False
