# board=imx8mm
# config=Mix
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=complex_updates (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_MEM
[sample=267] cpu=0 bench=complex_updates cycles=3634 instructions=2553 cache-misses=4
[sample=268] cpu=0 bench=complex_updates cycles=3619 instructions=2553 cache-misses=2
[sample=269] cpu=0 bench=complex_updates cycles=3594 instructions=2553 cache-misses=3
[sample=270] cpu=0 bench=complex_updates cycles=3961 instructions=2553 cache-misses=6
[sample=271] cpu=0 bench=complex_updates cycles=4010 instructions=2553 cache-misses=6
[sample=272] cpu=0 bench=complex_updates cycles=4137 instructions=2553 cache-misses=5
[sample=273] cpu=0 bench=complex_updates cycles=3610 instructions=2553 cache-misses=5
[sample=274] cpu=0 bench=complex_updates cycles=3628 instructions=2553 cache-misses=4
[sample=275] cpu=0 bench=complex_updates cycles=3601 instructions=2553 cache-misses=4
[sample=276] cpu=0 bench=complex_updates cycles=3941 instructions=2553 cache-misses=5
[sample=277] cpu=0 bench=complex_updates cycles=3954 instructions=2553 cache-misses=0
[sample=278] cpu=0 bench=complex_updates cycles=3844 instructions=2553 cache-misses=2
[sample=279] cpu=0 bench=complex_updates cycles=4106 instructions=2553 cache-misses=3
[sample=280] cpu=0 bench=complex_updates cycles=4159 instructions=2554 cache-misses=1
[sample=281] cpu=0 bench=complex_updates cycles=3653 instructions=2553 cache-misses=1
[sample=282] cpu=0 bench=complex_updates cycles=3618 instructions=2553 cache-misses=4
[sample=283] cpu=0 bench=complex_updates cycles=3694 instructions=2553 cache-misses=4
[sample=284] cpu=0 bench=complex_updates cycles=3928 instructions=2553 cache-misses=7
[sample=285] cpu=0 bench=complex_updates cycles=3588 instructions=2554 cache-misses=6
[sample=286] cpu=0 bench=complex_updates cycles=3605 instructions=2553 cache-misses=4
[sample=287] cpu=0 bench=complex_updates cycles=3626 instructions=2553 cache-misses=1
[sample=288] cpu=0 bench=complex_updates cycles=3764 instructions=2553 cache-misses=6
